lipid	pheno	pval	beta	std
Cer(d18:2/22:0)	ADA2010_Cat	0.545039170158153	0.003598621020061109	0.00594514278579081
Cer(d18:2/23:0)	ADA2010_Cat	0.16776241629808783	0.00878384975340158	0.006365642122966719
Cer(d18:2/24:0)	ADA2010_Cat	0.6895399575290603	-0.0022063930011726185	0.00552244268706379
Cer(d18:2/24:1)	ADA2010_Cat	0.3121308840889615	0.007122301462361064	0.007044857027466186
Cer(d18:2/26:0)	ADA2010_Cat	0.9285121311273298	-0.0012449657473679859	0.013875002955515804
Cer(d19:1/18:0)	ADA2010_Cat	0.3695654367904534	-0.012096311256847805	0.013478209471101493
Cer(d19:1/20:0)	ADA2010_Cat	0.10432764721554517	-0.024292097122942655	0.014949928903514037
Cer(d19:1/22:0)	ADA2010_Cat	0.44221859230735006	-0.005184972965666924	0.006746075324748069
Cer(d19:1/23:0)	ADA2010_Cat	0.8575787563067927	-0.0012502263216083234	0.006965895272600901
Cer(d19:1/24:0)	ADA2010_Cat	0.9944475282939009	4.547294129297885e-05	0.006533620671202339
Cer(d19:1/24:1)	ADA2010_Cat	0.7480441522331817	0.0021091455750732804	0.0065652369724156405
Cer(d19:1/26:0)	ADA2010_Cat	0.5589984742728686	-0.01123734320665705	0.019228236921841828
Cer(d20:1/22:0)	ADA2010_Cat	0.29937876461781265	0.010896991011930486	0.010497949219964118
Cer(d20:1/23:0)	ADA2010_Cat	0.44823476120052985	-0.008416757373040196	0.011096626821814573
Cer(d20:1/24:0)	ADA2010_Cat	0.5792678848009302	-0.005231970001754023	0.009434847631491536
Cer(d20:1/24:1)	ADA2010_Cat	0.9925864268777131	9.210039723829208e-05	0.009911021237663466
Cer(m18:0/20:0)	ADA2010_Cat	0.34012609795511284	-0.009455697016628017	0.009910353108121637
Cer(m18:0/22:0)	ADA2010_Cat	0.6889355964440549	0.0029553474996336093	0.007381859426010995
Cer(m18:0/23:0)	ADA2010_Cat	0.9179880892418628	-0.0008988318506125553	0.00872820305575969
Cer(m18:0/24:0)	ADA2010_Cat	0.8099433686786874	-0.0016681819570295991	0.006935500370671878
Cer(m18:0/24:1)	ADA2010_Cat	0.4312353089801968	0.0060694977200524275	0.007709997509084209
Cer(m18:1/18:0)	ADA2010_Cat	0.03756182629411282	-0.02384039644773773	0.011456975613518772
Cer(m18:1/20:0)	ADA2010_Cat	0.005890586660026765	-0.0214777426341885	0.007791677885447413
Cer(m18:1/22:0)	ADA2010_Cat	0.003338134975585946	-0.01982531691883279	0.006747986443775172
Cer(m18:1/23:0)	ADA2010_Cat	0.052115841825021866	-0.016667771781369124	0.008577358871449439
Cer(m18:1/24:0)	ADA2010_Cat	0.03158799652801586	-0.013841246197989092	0.006434918789084626
Cer(m18:1/24:1)	ADA2010_Cat	0.007531736975036751	-0.02022193418763973	0.007560041759161022
Cer1P(d18:1/16:0)	ADA2010_Cat	0.024237988086944138	-0.03838627877572764	0.01702355324693262
HexCer(d16:1/18:0)	ADA2010_Cat	0.7357791866201016	0.007399391923797995	0.021924726928540413
HexCer(d16:1/20:0)	ADA2010_Cat	0.13039933779874002	-0.023164636432008546	0.01530944904572481
HexCer(d16:1/22:0)	ADA2010_Cat	0.10737076224683506	-0.014798633072739147	0.009187238569195805
HexCer(d16:1/24:0)	ADA2010_Cat	0.11133879387615453	-0.016939692359211833	0.01063487255605576
HexCer(d18:1/16:0)	ADA2010_Cat	0.5516287812178651	-0.005034737339864079	0.008455876817933338
HexCer(d18:1/18:0)	ADA2010_Cat	0.7008464258092508	-0.0034128781566074365	0.00888242466943863
HexCer(d18:1/20:0)	ADA2010_Cat	0.0003853030683076192	-0.02778861337432103	0.00781579459633201
HexCer(d18:1/22:0)	ADA2010_Cat	0.030790969368227984	-0.01527879107120357	0.007069736822239113
HexCer(d18:1/24:0)	ADA2010_Cat	0.37827697357668255	-0.006555822825871374	0.00743920397321263
HexCer(d18:1/24:1)	ADA2010_Cat	0.0037252957777895394	-0.022833400633523925	0.007863725710506775
HexCer(d18:2/18:0)	ADA2010_Cat	0.8276642904174228	0.004888542366151223	0.022452925717069964
HexCer(d18:2/20:0)	ADA2010_Cat	0.10554246254022011	-0.022244681476838044	0.013737870224143477
HexCer(d18:2/22:0)	ADA2010_Cat	0.008006469426455857	-0.019333030664710885	0.007283888932405049
HexCer(d18:2/24:0)	ADA2010_Cat	0.19815652835818762	-0.009482884488083071	0.007367007872641173
Hex2Cer(d16:1/16:0)	ADA2010_Cat	0.27628426150576163	-0.012298766753247148	0.011293895783939351
Hex2Cer(d16:1/24:1)	ADA2010_Cat	0.5796480537879017	-0.009912568815182828	0.017893333812708537
Hex2Cer(d18:1/16:0)	ADA2010_Cat	0.48490122015103787	-0.005508464534539292	0.007885463253297559
Hex2Cer(d18:1/20:0)	ADA2010_Cat	0.7586373019001931	-0.0043203244296852565	0.01405857042814998
Hex2Cer(d18:1/22:0)	ADA2010_Cat	0.22188176710708243	0.012713397662409975	0.010404737141588767
Hex2Cer(d18:1/24:0)	ADA2010_Cat	0.19566872112218145	0.013089582142838736	0.010112598521690162
Hex2Cer(d18:1/24:1)	ADA2010_Cat	0.5478391046689356	-0.005328908727474033	0.008865346255628254
Hex2Cer(d18:2/16:0)	ADA2010_Cat	0.7357489315531786	-0.0031836839272762485	0.009432274845328156
Hex2Cer(d18:2/18:0)	ADA2010_Cat	0.12353593700613655	0.028860293894593082	0.018732054501190677
Hex2Cer(d18:2/24:1)	ADA2010_Cat	0.08306951769786117	-0.01841476413369452	0.01062021170031817
Hex3Cer(d18:1/16:0)	ADA2010_Cat	0.6857503442475463	-0.0029383369755214134	0.0072608479413107585
Hex3Cer(d18:1/18:0)	ADA2010_Cat	0.6294039618764748	-0.007840825670570623	0.01624591983620416
Hex3Cer(d18:1/20:0)	ADA2010_Cat	0.7856959901886065	0.006335550480158221	0.02329786387375356
Hex3Cer(d18:1/22:0)	ADA2010_Cat	0.18732023245378793	0.02178423158534297	0.016516238770497998
Hex3Cer(d18:1/24:0)	ADA2010_Cat	0.3692341594288314	-0.011600130591944209	0.01291640128914192
Hex3Cer(d18:1/24:1)	ADA2010_Cat	0.5671158682516896	-0.006297578952664501	0.01100224109355509
GM3(d18:1/16:0)	ADA2010_Cat	0.23740831229345302	-0.007781882321921368	0.0065847088680722745
GM3(d18:1/18:0)	ADA2010_Cat	0.10682820499753842	-0.017639743045285122	0.010934122754157116
GM3(d18:1/20:0)	ADA2010_Cat	0.9676090645508988	0.0006831548912144686	0.016821588356978133
GM3(d18:1/22:0)	ADA2010_Cat	0.5987277739699619	0.006052342681397371	0.011499637644019109
GM3(d18:1/24:0)	ADA2010_Cat	0.022575212777021552	0.02381354428270948	0.01043467323703539
GM3(d18:1/24:1)	ADA2010_Cat	0.6849160322554003	-0.004518195707548897	0.011133561227057602
GM3(d18:2/24:1)	ADA2010_Cat	0.34550147105436224	0.0158119802302255	0.016757907042530107
GD1(d18:1/24:1)	ADA2010_Cat	0.005573758752669716	0.03400521827190435	0.012255930619506795
SHexCer(d18:1/16:0(OH))	ADA2010_Cat	0.14114174436009963	0.01665028713423798	0.011310707456591976
SHexCer(d18:1/16:0)	ADA2010_Cat	0.02625477057543395	0.029075558094660253	0.013073997006372831
SHexCer(d18:1/24:0(OH))	ADA2010_Cat	0.00026588638983992554	0.06089833339076161	0.016673594781900346
SHexCer(d18:1/24:0)	ADA2010_Cat	0.5039416277372735	0.013509429126380014	0.020211273368248652
SHexCer(d18:1/24:1(OH))	ADA2010_Cat	0.003063449926851797	0.04839616725875767	0.01632475464399785
SHexCer(d18:1/24:1)	ADA2010_Cat	0.6546942899217985	0.008085374568581945	0.018075496188318798
SM(34:3)	ADA2010_Cat	0.39658417757793885	0.005258861110511381	0.0062021964618024575
SM(35:2) (b)	ADA2010_Cat	0.3239884570271523	-0.00696255650988907	0.00705772367623065
SM(37:1)	ADA2010_Cat	0.9884879146308905	7.746247016074403e-05	0.005368006009257262
SM(37:2)	ADA2010_Cat	0.3907072177947011	-0.004438046895894332	0.0051695068949659684
SM(38:3) (a)	ADA2010_Cat	0.855906477906941	-0.0010922837948744504	0.0060144877064573134
SM(38:3) (b)	ADA2010_Cat	0.53083537871645	0.0016908459169162338	0.0026974532996639692
SM(40:3) (a)	ADA2010_Cat	0.2907468684717456	-0.005519836684217155	0.005223464557203852
SM(40:3) (b)	ADA2010_Cat	0.6229094583756152	-0.002282594042969585	0.0046413012150414105
SM(40:4)	ADA2010_Cat	0.9298581462369685	0.0005655966282925862	0.00642479663454031
SM(41:0)	ADA2010_Cat	0.31785718718869266	0.00803352782132092	0.008040782969071757
SM(41:1) (a)	ADA2010_Cat	0.7519212915382925	0.002068174825514385	0.006541824229625934
SM(42:3)	ADA2010_Cat	0.20005190382664437	-0.005357549042713655	0.004179745436376998
SM(42:4)	ADA2010_Cat	0.02529547974816501	-0.012232279043775066	0.005464775149815999
SM(43:1)	ADA2010_Cat	0.8432963839925578	0.0010072369418816507	0.005094719882124082
SM(43:2) (b)	ADA2010_Cat	0.2721629976257857	0.0058072522108432445	0.005287153741450871
SM(43:2) (c)	ADA2010_Cat	0.14237359573977726	-0.00849499316556692	0.005788615765458944
SM(44:1)	ADA2010_Cat	0.2549676844389296	-0.006638357334150677	0.005829958193925792
SM(44:2)	ADA2010_Cat	0.014162268756356108	-0.01114724143713356	0.004540483785481458
SM(44:3)	ADA2010_Cat	3.2643217084619224e-06	-0.02310064815788418	0.004951432017523702
SM(d16:1/19:0)	ADA2010_Cat	0.9110774380833515	-0.000768032634221788	0.006876315529774614
SM(d16:1/23:0)/SM(d17:1/22:0)	ADA2010_Cat	0.5257801873159019	-0.002869717320126308	0.004522360531640333
SM(d16:1/24:1)	ADA2010_Cat	0.3466450038705242	-0.004776199074072757	0.005073946236746848
SM(d17:1/14:0)	ADA2010_Cat	0.014780985246874623	-0.01344545190838535	0.005511278337526812
SM(d17:1/16:0)	ADA2010_Cat	0.32024681118698156	-0.00481076046594589	0.0048389458548122035
SM(d17:1/24:1)	ADA2010_Cat	0.43614235900644127	-0.003796743183293344	0.004874706294737297
SM(d18:0/14:0)	ADA2010_Cat	0.45853513286465575	-0.006087986053995895	0.0082115660328256
SM(d18:0/16:0)	ADA2010_Cat	0.6014783436517449	-0.003726649114836278	0.007134373563738642
SM(d18:0/22:0)	ADA2010_Cat	0.35864720149115414	0.008205543983696773	0.008937157210215521
SM(d18:1/14:0)/SM(d16:1/16:0)	ADA2010_Cat	0.2416000838787919	-0.005787839201070691	0.004941329107135105
SM(d18:1/16:0)	ADA2010_Cat	0.23697221864417709	-0.004193341298658837	0.0035449341850390206
SM(d18:1/17:0)/SM(d17:1/18:0)	ADA2010_Cat	0.8344829315933426	-0.0011055172701460309	0.005290054163007958
SM(d18:1/18:0)/SM(d16:1/20:0)	ADA2010_Cat	0.10635195386563492	-0.0073877711917667566	0.004573136255745791
SM(d18:1/20:0)/SM(d16:1/22:0)	ADA2010_Cat	0.08619824493338323	-0.007204059805717228	0.004196773038946977
SM(d18:1/22:0)/SM(d16:1/24:0)	ADA2010_Cat	0.6661550115079913	-0.001812415563715225	0.00420037359641115
SM(d18:1/23:0)/SM(d17:1/24:0)	ADA2010_Cat	0.4981210165781018	0.0034399057658873466	0.005076891289948172
SM(d18:1/24:0)	ADA2010_Cat	0.5988778037510472	0.002736376234459284	0.005201333758886164
SM(d18:1/24:1)	ADA2010_Cat	0.27434025965845277	-0.005088984866708723	0.004654298756385587
SM(d18:2/14:0)	ADA2010_Cat	0.8618787885647591	0.0012845751332147548	0.007382471262148207
SM(d18:2/16:0)	ADA2010_Cat	0.30096663592387257	0.0050511090371901934	0.00488215737079964
SM(d18:2/17:0)	ADA2010_Cat	0.43362236747719773	0.0031891398751519445	0.004072187297390233
SM(d18:2/18:0)	ADA2010_Cat	0.839076976806453	-0.0010028116010334792	0.004937567773812144
SM(d18:2/18:1)	ADA2010_Cat	0.8857055229154053	-0.0007182991411628925	0.004996620438675158
SM(d18:2/20:0)	ADA2010_Cat	0.27609007250386175	-0.005172457679815445	0.004747921141956318
SM(d18:2/22:0)	ADA2010_Cat	0.3857342546749162	-0.0034804506211917746	0.0040118067517010934
SM(d18:2/23:0)	ADA2010_Cat	0.7880153749805793	-0.001352935430761315	0.005030969802775036
SM(d18:2/24:0)	ADA2010_Cat	0.038275039105363055	-0.008347110548985251	0.004026306405911776
SM(d19:1/24:1)	ADA2010_Cat	0.6370957994886148	-0.0028162321739766544	0.005968759191535171
PA(34:1)	ADA2010_Cat	0.02472238793350295	-0.04261408515825289	0.018962722377340948
PA(36:1)	ADA2010_Cat	0.03166693520254467	-0.04586823536527643	0.021334447287684948
PA(36:2)	ADA2010_Cat	0.009587944120483954	-0.0485271236447456	0.018717431867625315
PA(36:3)	ADA2010_Cat	0.013109011572487594	-0.04319597004576227	0.017398006379595984
PA(36:4)	ADA2010_Cat	0.9877933743767544	0.00030105834838835104	0.019675638207784035
PC(14:0_16:0)	ADA2010_Cat	0.40563090570477744	0.003975724827603222	0.004779856067745525
PC(14:0_20:4)	ADA2010_Cat	0.5679531535189579	-0.0032652064021651966	0.005716852021555157
PC(14:0_22:6)	ADA2010_Cat	0.5478972061160925	0.003716821241246414	0.006184322648222377
PC(15-MHDA_18:1)	ADA2010_Cat	0.5884278460548116	-0.0029047306829555752	0.0053672518142199
PC(15-MHDA_18:2)	ADA2010_Cat	0.1042412169273218	0.008294356871709346	0.005103268579508018
PC(15-MHDA_20:4)	ADA2010_Cat	0.5849920691231065	0.00305798726032816	0.0055987814540426365
PC(15-MHDA_22:6)	ADA2010_Cat	0.3131592571148685	-0.005689100706311928	0.00563921466973634
PC(15:0_20:3)	ADA2010_Cat	0.0335842916374219	0.011756629459586526	0.00552899303628237
PC(15:0_20:4)	ADA2010_Cat	0.03862205234308365	-0.010864347513371425	0.0052499185904866285
PC(15:0_22:6)	ADA2010_Cat	0.04491976241232222	-0.011317314710069318	0.005640187049573197
PC(16:0_16:0)	ADA2010_Cat	0.930912630039705	0.00040517947439917823	0.00467299548940806
PC(16:0_18:0)	ADA2010_Cat	0.1685141387931165	-0.007163555544707878	0.005200603381292355
PC(16:0_18:1)	ADA2010_Cat	0.7062225800814674	-0.0018353726035786055	0.004868581880845545
PC(16:0_18:2)	ADA2010_Cat	0.08957971818440814	0.004612895139560924	0.0027160755947573823
PC(16:0_18:3) (a)	ADA2010_Cat	0.7258010842829483	0.0020668399453196012	0.005892441963773902
PC(16:0_18:3) (b)	ADA2010_Cat	0.4425402810228858	0.0048651608270366825	0.006334438106426546
PC(16:0_20:3) (a)	ADA2010_Cat	0.01058983937196173	0.013859430288482813	0.005417779503801287
PC(16:0_20:3) (b)	ADA2010_Cat	0.7399094022048304	0.0024543360711305473	0.0073922403087039665
PC(16:0_20:4)	ADA2010_Cat	0.8793270606493288	0.0005907351359050045	0.003890511038915968
PC(16:0_20:5)	ADA2010_Cat	0.010555553514270358	0.01058599348172419	0.004136334229099792
PC(16:0_22:6)	ADA2010_Cat	0.5568999316391752	0.0029376263209323628	0.004999856452264936
PC(16:1_18:2)	ADA2010_Cat	0.3967122972073671	-0.004241485430709707	0.005003681417112824
PC(16:1_20:4)	ADA2010_Cat	0.06200748123291634	-0.011666189753970782	0.0062479828534232115
PC(16:1_22:6)	ADA2010_Cat	0.18417222426755536	-0.0059418419867945105	0.0044728141150399935
PC(17:0_18:1)	ADA2010_Cat	0.7211863165070802	0.0015764443759763713	0.0044168070300430835
PC(17:0_18:2)	ADA2010_Cat	0.08184130354295355	0.007054927583347345	0.004052466088278166
PC(17:0_20:4)	ADA2010_Cat	0.45971739061044237	0.0035856084257206156	0.004849072069928112
PC(17:0_22:6)	ADA2010_Cat	0.8555536601255505	0.0009421674777889827	0.00517508380118056
PC(17:1_18:2)	ADA2010_Cat	0.08327208051903522	0.009600290679115643	0.0055403481180044695
PC(18:0_18:1)	ADA2010_Cat	0.016995157324183482	-0.014098348221032578	0.0059022753629789934
PC(18:0_18:2)	ADA2010_Cat	0.3114364954879583	-0.004449705582284608	0.004395008600973825
PC(18:0_20:3)	ADA2010_Cat	0.574252642302967	-0.0038378796570400914	0.006830383894832105
PC(18:0_20:4)	ADA2010_Cat	0.0001236204110388281	-0.018611335566973725	0.004839511060267895
PC(18:0_22:4)	ADA2010_Cat	0.17591406107103233	-0.008436789686817103	0.0062315696150729676
PC(18:0_22:5) (n3)/PC(20:1_20:4)	ADA2010_Cat	0.011172523992444509	-0.013931592460582662	0.005486172410198314
PC(18:0_22:5) (n6)	ADA2010_Cat	0.019825132141169894	-0.016107897898767876	0.006909278638576084
PC(18:0_22:6)	ADA2010_Cat	0.014026373088275463	-0.01364006536949365	0.005548008383644549
PC(18:1_18:1)	ADA2010_Cat	0.36218487776934327	0.0045641555514090715	0.005007855531942776
PC(18:1_18:2)	ADA2010_Cat	0.14152626953158495	0.006206132940082515	0.004219967021896925
PC(18:1_20:3)	ADA2010_Cat	0.0748040899007549	0.009671434423386416	0.005425742705008757
PC(18:1_22:6) (a)	ADA2010_Cat	0.006976343588260416	0.01657240050934726	0.006136765303698743
PC(18:1_22:6) (b)	ADA2010_Cat	0.4436705412561385	-0.006458110124567498	0.008429327103439502
PC(18:2_18:2)	ADA2010_Cat	0.281664944889987	-0.008023915832182538	0.007451279148471188
PC(18:2_20:5)	ADA2010_Cat	0.5169851803817902	-0.004053714872273795	0.00625472736106307
PC(20:0_20:4)	ADA2010_Cat	0.1917813103419179	0.0060189188463452906	0.004609624571870941
PC(28:0)	ADA2010_Cat	0.356091288807606	0.010088626542635662	0.010929867959875307
PC(31:0) (a)	ADA2010_Cat	0.9401667854672614	0.0006670776874626305	0.00888621631033419
PC(31:0) (b)	ADA2010_Cat	0.34827173278865486	-0.00549693665968079	0.005859354503871761
PC(31:1)	ADA2010_Cat	0.7228107565798771	-0.0021722557213580754	0.006123339664813496
PC(32:1)	ADA2010_Cat	0.017876736073556984	0.01345117340356887	0.005675743860849818
PC(32:2)	ADA2010_Cat	0.2253903401004851	0.007076868182300258	0.00583582676072636
PC(33:0) (a)	ADA2010_Cat	0.9746037378136188	0.00016095083578410163	0.00505522819778859
PC(33:0) (b)	ADA2010_Cat	0.12353404366765945	0.007615985113883866	0.004943204277285431
PC(33:1)	ADA2010_Cat	0.40961877812520087	-0.003812815593755167	0.004623152242213923
PC(33:2)	ADA2010_Cat	0.12031904774482094	-0.007976788623594508	0.005132942070134949
