lipid	pheno	pval	beta	std	fdr_pval
PI(18:0_20:3) (a)	ADA2010_Cat	0.0046371270015089	-0.0242259242494488	0.0085478757603172	0.07261915870287523
PI(18:0_20:3) (b)	ADA2010_Cat	0.069430754366986	-0.0189880460746557	0.0104530881020702	0.3115001412140453
PI(18:0_20:4)	ADA2010_Cat	0.7285423893879588	-0.0019682784600273	0.0056704794226569	0.8971664439050532
PI(18:0_22:4)	ADA2010_Cat	0.2274353584184087	0.0090031754394169	0.0074570855162848	0.5520661124888614
PI(18:0_22:5) (n3)	ADA2010_Cat	0.8490420526870908	0.0014121350103183	0.0074180994735232	0.9587821819459664
PI(18:0_22:5) (n6)	ADA2010_Cat	0.9362044663272242	-0.0006862172926087	0.0085723089953475	0.9836072241159445
PI(18:0_22:6)	ADA2010_Cat	0.0829502086474539	-0.0112024770116073	0.0064581902383407	0.34630872425098447
PI(18:1_18:2)	ADA2010_Cat	0.0068956828729512	-0.0182662196907168	0.0067542263505386	0.0953902797424916
PI(20:0_20:4)	ADA2010_Cat	0.6730729481531692	-0.0046334630559754	0.0109799962493506	0.8770557255198729
PI(34:0)	ADA2010_Cat	0.408316413824882	0.0137882383199477	0.0166722022570347	0.725701549196257
PI(34:1)	ADA2010_Cat	0.5647098095633354	-0.0029540598418066	0.0051290398971642	0.8137311491971673
PI(36:2)	ADA2010_Cat	0.0312440975390156	-0.012058519376787	0.0055947096224166	0.24011667553132363
PI(37:6)	ADA2010_Cat	0.0001523570405012	-0.0752770533671845	0.0198417755678007	0.010538028634666333
PI(38:5) (a)	ADA2010_Cat	0.4656282627384822	-0.0040715741300512	0.0055794956712989	0.7598923869942995
PI(38:6)	ADA2010_Cat	0.7254904775276856	-0.0025065902720036	0.0071377104191077	0.8971664439050532
PI(39:6)	ADA2010_Cat	0.867333907060162	-0.0030182214340376	0.0180660838064309	0.9649961700535314
PIP1(38:4)	ADA2010_Cat	0.0250985880499913	-0.0291459861009179	0.0130033121897662	0.21256967430094675
LPI(18:0)	ADA2010_Cat	0.0489455217465049	0.0210186108733156	0.0106684393639049	0.2726351641136547
LPI(18:1) [sn1]	ADA2010_Cat	0.0121017270670449	0.0333686179309874	0.0132875780175965	0.1379736822652227
LPI(18:1) [sn2]	ADA2010_Cat	0.1465251265521873	0.0260371598812906	0.0179265840616395	0.45549009377646243
LPI(18:2) [sn1]	ADA2010_Cat	0.0110335136872537	0.0282888792465536	0.0111206698877766	0.1341171043093618
LPI(18:2) [sn2]	ADA2010_Cat	0.5077730473273161	0.0072654449323249	0.0109680587798002	0.7766758865695044
LPI(20:4) [sn1]	ADA2010_Cat	0.0024565009315183	0.0304632997115474	0.0100466522618325	0.05365515192526813
LPI(20:4) [sn2]	ADA2010_Cat	0.4288158961222166	0.0072694085371319	0.009185887547803	0.7369721318564743
